"route","day","tonnes"
"604 Route 4A (NEW)","2020-01-13",10.02
"609 Route 9A (NEW)","2020-02-15",1.22
"608 Route 8A (NEW)","2020-01-23",1.44
"602 Route 2A (NEW)","2020-02-07",2.54
"601 Route 1A (NEW)","2020-02-22",1.06
"603 Route 3A (NEW)","2020-01-29",6.26
"603 Route 3A (NEW)","2020-02-01",3.64
"636 Bring sites","2020-03-29",3.36
"504 Route 4 (NEW )","2018-01-07",7.58
"504 Route 4 (NEW )","2018-01-21",3.96
"189 Missed Bins","2018-01-22",4.9
"189 Missed Bins","2018-01-24",20.34
"501 Route 1 (NEW)","2018-01-24",33.86
"504 Route 4 (NEW )","2018-01-24",0.62
"502 Route 2 (NEW)","2018-01-25",17.34
"189 Missed Bins","2018-01-26",45.96
"502 Route 2 (NEW)","2018-01-26",12.78
"504 Route 4 (NEW )","2018-01-27",16.54
"506 Route 6 (NEW)","2018-02-03",8.54
"507 Route 7 (NEW )","2018-02-06",1.26
"503 Route 3 (NEW)","2018-02-07",17.42
"504 Route 4 (NEW )","2018-02-07",12.3
"189 Missed Bins","2018-02-11",7.86
"189 Missed Bins","2018-02-13",13.9
"503 Route 3 (NEW)","2018-02-17",9.12
"507 Route 7 (NEW )","2018-02-18",2.72
"502 Route 2 (NEW)","2018-02-20",11.22
"503 Route 3 (NEW)","2018-02-20",21.74
"506 Route 6 (NEW)","2018-02-20",5.88
"503 Route 3 (NEW)","2018-03-06",20.7
"506 Route 6 (NEW)","2018-03-06",6.3
"501 Route 1 (NEW)","2018-03-08",23.52
"503 Route 3 (NEW)","2018-03-17",9.5
"503 Route 3 (NEW)","2018-03-19",12.52
"601 Route 1A (NEW)","2018-02-12",7.76
"603 Route 3A (NEW)","2018-02-12",7.44
"604 Route 4A (NEW)","2018-02-15",9.98
"602 Route 2A (NEW)","2018-03-12",8.54
"602 Route 2A (NEW)","2018-03-13",10.08
"603 Route 3A (NEW)","2018-01-05",3.88
"602 Route 2A (NEW)","2018-01-07",1.74
"601 Route 1A (NEW)","2018-01-09",4.52
"604 Route 4A (NEW)","2018-01-11",2.64
"606 Route 6A  (NEW)","2018-02-04",0.56
"603 Route 3A (NEW)","2018-02-05",3.04
"606 Route 6A  (NEW)","2018-02-06",1.66
"606 Route 6A  (NEW)","2018-02-07",0.74
"604 Route 4A (NEW)","2018-02-16",2.32
"602 Route 2A (NEW)","2018-02-17",1.96
"605 Route 5A (NEW)","2018-03-06",0.64
"603 Route 3A (NEW)","2018-03-07",1.44
"604 Route 4A (NEW)","2018-03-17",2.5
"601 Route 1A (NEW)","2018-03-19",3.84
"602 Route 2A (NEW)","2018-03-21",2.36
"604 Route 4A (NEW)","2018-01-12",8.22
"605 Route 5A (NEW)","2018-01-13",7.9
"604 Route 4A (NEW)","2018-02-09",5.44
"606 Route 6A  (NEW)","2018-02-09",1.64
"603 Route 3A (NEW)","2018-02-27",8.48
"603 Route 3A (NEW)","2018-03-11",2.96
"604 Route 4A (NEW)","2018-03-27",3.64
"505 Route 5 (NEW)","2018-01-03",6.48
"502 Route 2 (NEW)","2018-01-04",5.8
"504 Route 4 (NEW )","2018-01-16",16.6
"501 Route 1 (NEW)","2018-01-29",5.54
"505 Route 5 (NEW)","2018-02-10",7.88
"504 Route 4 (NEW )","2018-02-12",8.52
"502 Route 2 (NEW)","2018-02-13",8.54
"504 Route 4 (NEW )","2018-02-13",7.74
"503 Route 3 (NEW)","2018-02-14",8.76
"501 Route 1 (NEW)","2018-02-26",9.64
"504 Route 4 (NEW )","2018-02-27",9.26
"506 Route 6 (NEW)","2018-03-10",1.18
"501 Route 1 (NEW)","2018-03-11",2.7
"502 Route 2 (NEW)","2018-03-11",3.52
"503 Route 3 (NEW)","2018-03-12",5.48
"501 Route 1 (NEW)","2018-03-13",4.18
"505 Route 5 (NEW)","2018-03-25",8.04
"504 Route 4 (NEW )","2018-03-30",8.08
"502 Route 2 (NEW)","2018-03-31",10.6
"505 Route 5 (NEW)","2018-03-31",15.44
"506 Route 6 (NEW)","2018-03-31",1.8
"507 Route 7 (NEW )","2018-04-01",1.66
"504 Route 4 (NEW )","2018-04-02",9.32
"505 Route 5 (NEW)","2018-04-02",10.16
"506 Route 6 (NEW)","2018-04-02",2.58
"189 Missed Bins","2018-04-04",0.14
"502 Route 2 (NEW)","2018-04-04",16.4
"189 Missed Bins","2018-04-05",9.16
"506 Route 6 (NEW)","2018-04-06",8.14
"502 Route 2 (NEW)","2018-04-11",18.18
"505 Route 5 (NEW)","2018-04-11",5.7
"503 Route 3 (NEW)","2018-04-16",12.18
"505 Route 5 (NEW)","2018-04-16",7.88
"503 Route 3 (NEW)","2018-04-17",23.9
"506 Route 6 (NEW)","2018-04-19",8.6
"502 Route 2 (NEW)","2018-04-20",17.88
"189 Missed Bins","2018-04-29",9.38
"506 Route 6 (NEW)","2018-05-02",6.74
"189 Missed Bins","2018-05-03",15.34
"503 Route 3 (NEW)","2018-05-03",17.64
"191 Rt 2","2018-05-16",6.54
"504 Route 4 (NEW )","2018-05-16",11.96
"504 Route 4 (NEW )","2018-05-17",13.62
"504 Route 4 (NEW )","2018-05-19",12.68
"506 Route 6 (NEW)","2018-05-19",2.16
"191 Rt 2","2018-05-28",12.52
"191 Rt 2","2018-05-30",9.4
"501 Route 1 (NEW)","2018-06-01",9.84
"502 Route 2 (NEW)","2018-06-01",9.46
"501 Route 1 (NEW)","2018-06-03",9.1
"502 Route 2 (NEW)","2018-06-03",11.92
"602 Route 2A (NEW)","2018-04-10",10.14
"604 Route 4A (NEW)","2018-04-11",8.92
"605 Route 5A (NEW)","2018-04-13",5.42
"606 Route 6A  (NEW)","2018-04-14",0.88
"603 Route 3A (NEW)","2018-04-15",4.48
"604 Route 4A (NEW)","2018-05-07",9.0
"606 Route 6A  (NEW)","2018-05-14",4.28
"604 Route 4A (NEW)","2018-06-08",8.76
